date,open,high,low,close,volume,rank
2018-11-09,4.02,4.02,3.96,3.97,7404308,0.1981519507186858
2018-11-12,4.0,4.09,3.99,4.09,13369172,0.106776180698152
2018-11-13,4.05,4.16,4.05,4.14,14607863,0.09650924024640657
2018-11-14,4.15,4.19,4.12,4.14,11533566,0.08521560574948665
2018-11-15,4.14,4.17,4.12,4.16,7504084,0.08316221765913757
2018-11-16,4.17,4.31,4.14,4.27,23068507,0.07084188911704312
2018-11-19,4.27,4.36,4.25,4.32,22984407,0.08624229979466119
2018-11-20,4.3,4.31,4.14,4.14,19774991,0.1683778234086242
2018-11-21,4.09,4.2,4.08,4.17,11212229,0.2535934291581109
2018-11-22,4.18,4.2,4.14,4.16,9921728,0.2679671457905544
2018-11-23,4.16,4.17,3.99,4.0,13910309,0.2813141683778234
2018-11-26,3.99,4.03,3.92,3.93,8390644,0.3880903490759753
2018-11-27,3.95,4.05,3.93,3.98,10324415,0.3028747433264887
2018-11-28,3.98,4.03,3.96,4.02,7496410,0.3347022587268994
2018-11-29,4.06,4.07,3.93,3.94,7202860,0.3141683778234086
2018-11-30,3.94,3.98,3.9,3.96,6686158,0.3234086242299795
2018-12-03,4.02,4.05,4.0,4.03,10422476,0.2741273100616016
2018-12-04,4.03,4.07,4.01,4.06,10097811,0.2238193018480493
2018-12-05,4.02,4.06,4.0,4.03,7360113,0.2104722792607803
2018-12-06,4.01,4.02,3.93,3.96,6038677,0.2464065708418891
2018-12-07,3.96,3.98,3.92,3.95,3941492,0.3357289527720739
2018-12-10,3.93,3.94,3.86,3.89,5351490,0.4876796714579055
2018-12-11,3.91,3.94,3.9,3.92,3229896,0.5985626283367557
2018-12-12,3.92,3.99,3.92,3.97,5952953,0.6047227926078029
2018-12-13,3.96,4.05,3.94,4.02,10079524,0.6837782340862423
2018-12-14,4.01,4.02,3.95,3.96,7201188,0.6714579055441479
2018-12-17,3.94,3.98,3.92,3.93,5864368,0.7484599589322382
2018-12-18,3.93,3.95,3.87,3.89,6729898,0.7597535934291582
2018-12-19,3.9,3.93,3.86,3.87,4625235,0.7679671457905544
2018-12-20,3.87,3.9,3.84,3.87,4821546,0.7659137577002053
2018-12-21,3.87,3.88,3.79,3.82,6233902,0.7412731006160165
2018-12-24,3.8,3.85,3.8,3.85,3036423,0.6406570841889117
2018-12-25,3.82,3.82,3.7,3.78,8916712,0.6611909650924025
2018-12-26,3.77,3.79,3.74,3.75,3508986,0.6981519507186859
2018-12-27,3.8,3.82,3.74,3.75,6821149,0.7084188911704312
2018-12-28,3.74,3.78,3.74,3.76,4472301,0.7392197125256673
2019-01-02,3.76,3.78,3.71,3.73,3594231,0.688911704312115
2019-01-03,3.72,3.78,3.7,3.74,4102059,0.6642710472279261
2019-01-04,3.71,3.82,3.7,3.82,7432785,0.6283367556468172
2019-01-07,3.88,3.89,3.83,3.86,8450842,0.5954825462012321
2019-01-08,3.86,3.87,3.84,3.85,4888697,0.5605749486652978
2019-01-09,3.87,3.91,3.86,3.86,7215405,0.5677618069815195
2019-01-10,3.88,3.88,3.84,3.85,4921100,0.5903490759753593
2019-01-11,3.85,3.88,3.83,3.86,5060633,0.5770020533880903
2019-01-14,3.86,3.89,3.85,3.86,5317132,0.5174537987679672
2019-01-15,3.85,3.9,3.85,3.89,6609143,0.391170431211499
2019-01-16,3.89,3.9,3.87,3.87,4224340,0.3634496919917864
2019-01-17,3.87,3.9,3.86,3.87,4995128,0.3336755646817248
2019-01-18,3.86,3.9,3.86,3.9,5128028,0.3593429158110883
2019-01-21,3.9,3.92,3.88,3.88,6741545,0.3798767967145791
2019-01-22,3.89,3.92,3.84,3.86,6636819,0.4322381930184805
2019-01-23,3.85,3.88,3.85,3.86,4428300,0.4589322381930185
2019-01-24,3.86,3.91,3.84,3.89,5550244,0.4086242299794661
2019-01-25,3.91,3.92,3.88,3.89,5637119,0.5328542094455853
2019-01-28,3.9,3.93,3.86,3.88,5973081,0.5657084188911704
2019-01-29,3.88,3.9,3.79,3.86,7568257,0.6026694045174538
2019-01-30,3.84,3.92,3.81,3.88,11545121,0.553388090349076
2019-01-31,3.88,3.95,3.87,3.91,9563922,0.5123203285420944
2019-02-01,3.93,3.97,3.9,3.96,8720292,0.4681724845995893
2019-02-11,3.97,4.01,3.94,4.0,10047608,0.4722792607802875
2019-02-12,3.99,4.07,3.99,4.04,10390537,0.446611909650924
2019-02-13,4.04,4.11,4.03,4.1,11846356,0.404517453798768
2019-02-14,4.1,4.12,4.06,4.08,8232153,0.4209445585215606
2019-02-15,4.1,4.12,4.04,4.05,7070314,0.3162217659137577
2019-02-18,4.08,4.14,4.07,4.14,10933710,0.2084188911704312
2019-02-19,4.14,4.18,4.08,4.1,10857785,0.1899383983572895
2019-02-20,4.11,4.15,4.08,4.11,8940302,0.2926078028747433
2019-02-21,4.1,4.14,4.07,4.08,12046080,0.4014373716632443
2019-02-22,4.08,4.14,4.08,4.13,10127465,0.4476386036960985
2019-02-25,4.14,4.37,4.14,4.35,37727970,0.6457905544147844
2019-02-26,4.36,4.42,4.3,4.33,28402723,0.7227926078028748
2019-02-27,4.32,4.46,4.32,4.38,22201075,0.7135523613963038
2019-02-28,4.38,4.43,4.36,4.39,13944247,0.6529774127310062
2019-03-01,4.4,4.42,4.32,4.4,16445447,0.7474332648870636
2019-03-04,4.4,4.54,4.4,4.46,32847539,0.839835728952772
2019-03-05,4.44,4.54,4.43,4.53,23030376,0.8459958932238193
2019-03-06,4.53,4.6,4.48,4.58,26648604,0.8542094455852156
2019-03-07,4.58,4.63,4.52,4.58,28658956,0.8747433264887063
2019-03-08,4.53,4.56,4.32,4.33,31894286,0.9137577002053389
2019-03-11,4.33,4.58,4.33,4.55,31745281,0.9609856262833676
2019-03-12,4.59,4.61,4.5,4.55,25023708,0.9804928131416838
2019-03-13,4.55,4.64,4.51,4.54,29026826,0.9907597535934292
2019-03-14,4.54,4.66,4.4,4.42,28776973,0.9938398357289527
2019-03-15,4.45,4.77,4.44,4.62,45239003,0.9835728952772074
2019-03-18,4.63,4.84,4.54,4.79,44047362,0.9784394250513347
2019-03-19,4.77,4.86,4.67,4.71,29491625,0.9794661190965093
2019-03-20,4.73,4.84,4.68,4.82,34118863,0.9743326488706365
2019-03-21,4.86,4.96,4.82,4.9,34679308,0.9856262833675564
2019-03-22,5.0,5.05,4.86,4.97,42259253,0.9887063655030801
2019-03-25,4.96,5.47,4.91,5.3,93794053,0.9322381930184805
2019-03-26,5.31,5.37,5.15,5.21,50068983,0.7854209445585215
2019-03-27,5.23,5.26,5.12,5.24,27701640,0.6396303901437371
2019-03-28,5.21,5.27,5.03,5.06,26856415,0.6519507186858317
2019-03-29,5.08,5.27,5.07,5.23,31085407,0.7238193018480493
2019-04-01,5.32,5.48,5.23,5.4,36403664,0.7648870636550308
2019-04-02,5.43,5.52,5.4,5.44,29007087,0.7895277207392197
2019-04-03,5.43,5.56,5.41,5.54,30908233,0.813141683778234
2019-04-04,5.54,5.82,5.54,5.79,43600827,0.5944558521560575
2019-04-08,5.8,5.95,5.67,5.79,38111297,0.3860369609856263
2019-04-09,5.79,5.81,5.67,5.75,26820628,0.417864476386037
2019-04-10,5.7,5.75,5.58,5.67,24062070,0.459958932238193
2019-04-11,5.71,5.73,5.55,5.6,19407105,0.3583162217659138
2019-04-12,5.63,5.65,5.49,5.56,24044629,0.4106776180698152
2019-04-15,5.65,5.75,5.45,5.49,26945423,0.406570841889117
2019-04-16,5.49,5.59,5.37,5.57,24714312,0.4568788501026694
2019-04-17,5.57,5.62,5.49,5.5,23009047,0.5102669404517454
2019-04-18,5.53,5.53,5.43,5.47,13262743,0.3624229979466119
2019-04-19,5.45,5.49,5.37,5.45,13720840,0.3429158110882957
2019-04-22,5.45,5.45,5.18,5.23,26187697,0.3203285420944558
2019-04-23,5.25,5.31,5.2,5.21,16846908,0.2997946611909651
2019-04-24,5.25,5.28,5.2,5.24,14709818,0.2135523613963039
2019-04-25,5.23,5.27,5.02,5.04,20677442,0.2607802874743326
2019-04-26,5.05,5.15,5.04,5.08,14609347,0.175564681724846
2019-04-29,5.12,5.15,4.98,5.01,17574708,0.1581108829568789
2019-04-30,5.01,5.11,5.0,5.07,13994985,0.1560574948665298
2019-05-06,5.01,5.01,4.7,4.75,24325504,0.1324435318275154
2019-05-07,4.82,4.82,4.67,4.74,14995766,0.1817248459958932
2019-05-08,4.67,4.76,4.65,4.68,11509535,0.271047227926078
2019-05-09,4.7,4.72,4.6,4.6,10044030,0.4887063655030801
2019-05-10,4.63,4.77,4.61,4.74,10975588,0.5965092402464066
2019-05-13,4.72,4.73,4.61,4.63,9602980,0.7340862422997947
2019-05-14,4.58,4.72,4.56,4.65,10518847,0.7268993839835729
2019-05-15,4.66,4.73,4.66,4.7,11971957,0.7587268993839835
2019-05-16,4.71,4.74,4.69,4.72,8667555,0.7915811088295688
2019-05-17,4.72,4.75,4.61,4.62,11317574,0.7330595482546202
2019-05-20,4.61,4.65,4.52,4.57,6736892,0.648870636550308
2019-05-21,4.55,4.66,4.55,4.63,10020347,0.580082135523614
2019-05-22,4.64,4.67,4.59,4.65,7851980,0.471252566735113
2019-05-23,4.63,4.68,4.58,4.67,10711175,0.3080082135523614
2019-05-24,4.65,4.69,4.62,4.63,5165714,0.2720739219712526
2019-05-27,4.64,4.74,4.57,4.68,10914842,0.2648870636550308
2019-05-28,4.7,4.74,4.65,4.69,8005793,0.2823408624229979
2019-05-29,4.66,4.7,4.64,4.65,7187038,0.3059548254620123
2019-05-30,4.66,4.68,4.57,4.62,5945954,0.2987679671457906
2019-05-31,4.61,4.65,4.55,4.56,7747452,0.3870636550308008
2019-06-03,4.55,4.61,4.46,4.47,10816003,0.5051334702258727
2019-06-04,4.53,4.53,4.39,4.41,9050679,0.6375770020533881
2019-06-05,4.44,4.53,4.43,4.48,9464076,0.7258726899383984
2019-06-06,4.47,4.51,4.46,4.47,6627058,0.7618069815195072
2019-06-10,4.47,4.6,4.47,4.55,7275652,0.8059548254620124
2019-06-11,4.58,4.69,4.55,4.67,9960901,0.8039014373716632
2019-06-12,4.68,4.69,4.61,4.62,5570410,0.7967145790554415
2019-06-13,4.62,4.64,4.57,4.62,6109291,0.7761806981519507
2019-06-14,4.63,4.66,4.56,4.59,9678319,0.742299794661191
2019-06-17,4.6,4.62,4.56,4.61,6404898,0.6478439425051334
2019-06-18,4.6,4.61,4.54,4.56,6781934,0.6057494866529775
2019-06-19,4.62,4.67,4.61,4.63,9924736,0.4353182751540041
2019-06-20,4.63,4.75,4.59,4.71,13602148,0.3737166324435318
2019-06-21,4.72,4.8,4.71,4.77,12207073,0.2279260780287474
2019-06-24,4.78,4.81,4.73,4.76,7668358,0.1232032854209446
2019-06-25,4.76,4.76,4.65,4.7,7875949,0.1006160164271047
2019-06-26,4.71,4.71,4.64,4.66,5293404,0.07392197125256673
2019-06-27,4.68,4.71,4.65,4.68,7020825,0.04722792607802875
2019-06-28,4.66,4.67,4.6,4.61,5997374,0.03696098562628337
2019-07-01,4.69,4.72,4.65,4.7,11002127,0.03593429158110883
2019-07-02,4.7,4.75,4.66,4.73,12072692,0.03388090349075976
2019-07-03,4.71,4.73,4.66,4.7,8561865,0.03182751540041068
2019-07-04,4.75,4.85,4.71,4.81,19695623,0.02874743326488706
2019-07-05,4.79,4.82,4.57,4.67,45520630,0.02566735112936345
2019-07-08,4.64,4.66,4.54,4.56,16171867,0.02464065708418891
2019-07-09,4.57,4.6,4.55,4.57,6986536,0.0297741273100616
2019-07-10,4.55,4.56,4.4,4.45,20808672,0.03490759753593429
2019-07-11,4.2,4.22,4.11,4.12,13187537,0.04414784394250514
2019-07-12,4.13,4.17,4.13,4.14,6329016,0.05441478439425051
2019-07-15,4.16,4.17,4.05,4.16,9687611,0.0595482546201232
2019-07-16,4.16,4.2,4.14,4.2,5574105,0.06160164271047228
2019-07-17,4.2,4.21,4.14,4.15,7151801,0.08726899383983573
2019-07-18,4.14,4.14,4.09,4.11,6119656,0.1078028747433265
2019-07-19,4.12,4.18,4.11,4.16,6992310,0.1478439425051335
2019-07-22,4.15,4.18,4.1,4.11,6275906,0.2443531827515401
2019-07-23,4.11,4.15,4.09,4.12,5416295,0.2176591375770021
2019-07-24,4.13,4.17,4.1,4.12,10046286,0.1950718685831622
2019-07-25,4.12,4.12,4.08,4.1,6400882,0.2166324435318275
2019-07-26,4.1,4.1,4.05,4.06,8536268,0.3326488706365503
2019-07-29,4.05,4.08,3.95,3.98,19044175,0.4825462012320328
2019-07-30,3.96,4.02,3.95,3.99,11457447,0.5739219712525667
2019-07-31,3.98,3.98,3.93,3.94,12698417,0.5616016427104723
2019-08-01,3.93,3.94,3.83,3.86,23079601,0.5503080082135524
2019-08-02,3.81,3.81,3.76,3.79,12014113,0.5564681724845996
2019-08-05,3.79,3.79,3.73,3.73,7562531,0.486652977412731
2019-08-06,3.69,3.69,3.58,3.65,13397175,0.5687885010266941
